[00:00:00.000 --> 00:00:02.000]  Soll ich mit abnehmen?
[00:01:23.000 --> 00:01:29.000]  Und wenn man da irgendwie einen Konsens gefunden hat, die Leute sich hier in einen Hund verliebt haben,
[00:01:29.000 --> 00:01:35.000]  dann kommen die, weiß ich nicht, vier, fünf, sechs, sieben, acht Mal, gehen mit dem Hund Gassi und lernen ihn näher kennen.
[00:01:35.000 --> 00:01:41.000]  Und wenn Sie den Hund dann immer noch haben möchten, dann machen wir eine zweiböchige Probezeitspicht.
[00:01:41.000 --> 00:01:46.000]  Die Leute nehmen den Hund für zwei Wochen mit, wir machen so eine Art Pflegevertrag,
[00:01:47.000 --> 00:01:53.000]  hat noch niemand was bezahlt oder wie auch immer. Und dann probieren die zwei Wochen einfach mal das Leben mit dem Hund aus.
[00:01:53.000 --> 00:01:59.000]  Und wenn das passt, wird ein ganz normaler Schutzvertrag gemacht und der Hund bleibt dort.
[00:01:59.000 --> 00:02:05.000]  Und in der Regel kommt dieser Hund auch nicht wieder. Es sei denn, irgendjemand stirbt oder, weiß ich nicht,
[00:02:05.000 --> 00:02:11.000]  das Kind entwickelt eine hochgradige Allergie gegen Hundehabe, dann kommt der Hund natürlich wieder.
[00:02:12.000 --> 00:02:24.000]  Aber von Tieren auch generell, sei es Hundekatzen oder Kleintiere, was wir vermitteln, kommt in der Regel wirklich nur dann zurück, wenn einer dieser Fälle, die ich eben erwähnt habe, eingetreten sind.
[00:02:24.000 --> 00:02:34.000]  Wir machen Vorkontrollen, wir machen Nachkontrollen, das heißt nach acht, neun, zehn Wochen fahren wir zu den Leuten, schauen, wie das vor Ort funktioniert.
[00:02:34.000 --> 00:02:40.000]  Wenn es Probleme gibt, unterstützen wir sie da natürlich, wir arbeiten mit verschiedenen Hundeschulen zusammen.
[00:02:40.000 --> 00:02:49.200]  Genau, und das ist einfach auch so ein ganz wichtiger Punkt und Ziel für uns, dass Tiere, die wir einmal vermittelt haben, bitte auch nicht wieder zurückkommen.
[00:02:49.200 --> 00:02:53.200]  Das heißt, die Leute, die es nicht so ernst meinen, werden dann schon im Prozess sozusagen abgeschreckt.
[00:02:53.200 --> 00:02:53.700]  Ja.
[00:02:53.700 --> 00:02:54.200]  Ja.
[00:02:54.200 --> 00:02:59.400]  Was heißt abgeschreckt? Also man muss den Menschen einfach vor Augen halten, was kann passieren.
[00:02:59.400 --> 00:02:59.900]  Ja.
[00:02:59.900 --> 00:03:00.400]  Ja.
[00:03:00.400 --> 00:03:00.900]  Ja.
[00:03:00.900 --> 00:03:20.100]  Und die Abgabetiere, sagen wir mal vor allen Dingen Hunde, die wir bekommen, die sind tatsächlich nach wie vor leider über Ebay Kleinanzeigen vermittelt, über irgendwelche dubiosen Tierschutzorgas im Ausland, die nur mit Pflegestellen und nicht mit deutschen Tierheimen zusammenarbeiten.
[00:03:20.100 --> 00:03:26.860]  Da kriegen wir leider häufiger mal einen Hund abgegeben, weil die Leute einfach nicht mehr mit klarkommen,
[00:03:26.860 --> 00:03:31.540]  weil der Hund schwieriger ist als erwartet, größer geworden ist als erwartet.
[00:03:31.540 --> 00:03:37.140]  Ja und was
[00:03:37.140 --> 00:03:43.220]  was so dann der, was irgendwie ist der Hauptgrund, warum Hunde abgegeben werden?
[00:03:43.900 --> 00:03:51.100]  Der häufigste Grund ist, dass die Besitzer nicht mehr mit klarkommen, dass es einen Weißvorfall gab, dass er die Kinder nicht akzeptiert.
[00:03:51.100 --> 00:03:53.100]  Achso, ja.
[00:03:53.100 --> 00:03:58.100]  Ist diese Praxis, die Sie hier machen, mit dieser Testphase Standardpraxis oder?
[00:03:58.100 --> 00:04:04.100]  Bei uns ist es Standard, aber ich glaube das Tierheim Gernsthal macht es ähnlich.
[00:04:04.100 --> 00:04:10.100]  Bei anderen Tierheimen weiß ich es nicht, aber ich gehe mal von aus, dass es auf jeden Fall ein Trend ist, der sich überall hindurchsetzt.
[00:04:10.100 --> 00:04:14.740]  Weil es ist einfach für den Hund und für die neue Familie wirklich das Beste.
[00:04:14.740 --> 00:04:20.980]  Denn man sieht es erst, wenn der Hund zu Hause ist, ob es tatsächlich klappt.
[00:04:20.980 --> 00:04:21.500]  Ja.
[00:04:21.500 --> 00:04:29.780]  Kaufen dann die Personen schon die, na gut, die wollen ja den Hund auch mal, also kaufen die die Hundeausstattung schon selbst oder gehen die mit?
[00:04:29.780 --> 00:04:34.900]  Ja, kriegen kleine Geschirr mit, Futter mit, Decken, Körbchen, wenn sie das brauchen.
[00:04:34.900 --> 00:04:36.340]  Also es gibt Unterstützung?
[00:04:36.340 --> 00:04:46.340]  Erstmal kommt, solange kein richtiger Schutzvertrag abgeschlossen wurde, kommt auf die Leute, kommen da keine Kosten auf die Leute zu. Die werden ja erst mal von uns supported.
[00:04:46.340 --> 00:04:54.340]  Okay. Wie sieht das mit Krankenhunden aus? Bekommt man da Unterstützung oder ist das?
[00:04:54.340 --> 00:05:02.340]  Wie meinen Sie, wer bekommt, also wenn wir einen kranken Hund vermitteln, dann kann der lebenslang zu uns in die Tierarztpraxis kommen.
[00:05:02.340 --> 00:05:15.340]  Wenn er zum Beispiel was weggeht, gleich manövern. Oder wenn es ein Hund ist, wo absehbar ist, dass er nicht mehr lange lebt und wir generell nur eine Pflegestelle suchen, dann kommen wir in der Regel für die Tierarztkosten auf.
[00:05:15.340 --> 00:05:22.340]  Wir haben also den Tierschutzverein, hat einen eigenen Tierarzt, der hier angestellt ist. Eine kleine Praxis schon auf dem Gelände. Genau.
[00:05:22.340 --> 00:05:30.820]  Der ist allerdings tatsächlich nur für diese tierheim eigenen Tiere zuständig. Also es ist kein niedergelassener Tierarzt, wo jeder hinkommt, sondern wirklich tatsächlich nur unsere Tiere.
[00:05:30.820 --> 00:05:40.820]  Oder wie eben erwähnt, wenn wir ein krankes Tier vermitteln, haben die Leute auch die Möglichkeit, kostenfrei unseren Tierarzt aufzurufen.
[00:05:40.820 --> 00:05:44.820]  Wie lange sind Sie schon im Tierschutzverein? Ich? Seit 21 Jahren.
[00:05:47.820 --> 00:05:53.280]  Und jetzt vor allem in Bezug auf Kinder, wenn die hier kommen und einen Hund adoptieren wollen.
[00:05:53.280 --> 00:05:55.280]  Kinder? Nein.
[00:05:55.280 --> 00:05:57.280]  Also über die Eltern natürlich.
[00:05:57.280 --> 00:06:01.420]  Aber meist ist es ja der Kinderwunsch, einen Hund zu haben.
[00:06:01.420 --> 00:06:04.200]  Aber auch da haben wir genau das gleiche Prozent.
[00:06:04.200 --> 00:06:09.720]  Also die Eltern sind immer hauptverantwortlich, ob die Kinder jetzt einen Hund wollen oder nicht.
[00:06:09.720 --> 00:06:12.720]  Und das versuchen wir auch immer ganz klar zu kommunizieren.
[00:06:12.720 --> 00:06:16.640]  Denn klar, Kinder, wenn sie mal 12, 13 sind, hätten die gerne einen Hund. Das ist super.
[00:06:16.640 --> 00:06:22.000]  Dauert dann genau zwei Jahre und dann geht das Interesse flöten.
[00:06:22.000 --> 00:06:25.760]  Es ist zum Beispiel so ein Fall,
[00:06:25.760 --> 00:06:28.960]  wir kriegen ganz oft Kaninchen oder Meerschweinchen abgegeben.
[00:06:28.960 --> 00:06:33.560]  Die wurden irgendwann mal irgendwo im Kölle Zoo oder wo auch immer gekauft für die Kinder.
[00:06:33.560 --> 00:06:41.560]  Und die haben dann irgendwann keine Lust mehr, die Eltern zu marschen. Und das ist eigentlich der Hauptabgabengrund für Kaninchen.
[00:06:41.560 --> 00:06:45.560]  Gut, es sind jetzt keine Hunde, aber nur Abrahamus.
[00:06:45.560 --> 00:06:52.560]  Man muss einfach immer gute Aufklärungsarbeit leisten bei den Kindern, bei den Eltern, vor allem bei den Eltern.
[00:06:52.560 --> 00:06:57.560]  Ja, so ungefähr das selbe versuchen wir auch zu machen. Deswegen die Frage.
[00:06:57.560 --> 00:07:03.560]  Was studiert ihr denn? Informatik. Also wie gesagt, wir machen ein Spiel.
[00:07:03.560 --> 00:07:08.560]  Wir wollen eine Handyaufklärung machen. Ah, cool. Echt? Ja.
[00:07:08.560 --> 00:07:15.080]  Deswegen, wir sind nicht so Experten in dem Gebiet. Tut mir leid, wenn ich irgendwas falsch sage. Nein, alles gut.
[00:07:15.080 --> 00:07:21.320]  Vielleicht jetzt mal generelle Fragen zu Hunden. Wie man am besten mit denen umgehen kann.
[00:07:21.320 --> 00:07:26.360]  Zum Beispiel so Sachen wie, wie man am besten Vertrauen mit einem Hund aufbaut.
[00:07:26.360 --> 00:07:34.080]  Alex. Meine Kollegin Alex, die gerade eine Ausbildung zur Hundetrainerin macht.
[00:07:34.080 --> 00:07:38.080]  Die ist da. Hast du kurz Zeit? Ja. Dann komm zu uns.
[00:07:38.080 --> 00:07:44.080]  Die ist da die perfekte Ansprechpartnerin, weil die lernt gerade hautnah.
[00:07:44.080 --> 00:07:48.080]  Lernverhalten. Bindung.
[00:07:48.080 --> 00:07:56.080]  Naja, wichtig ist es halt, dass man ganz individuell auf den Hund, den man da hat, zu dem man eine Bindung aufbaut, eingeht.
[00:07:56.080 --> 00:07:58.080]  Und dass man ganz viel Zeit sich nimmt.
[00:07:58.080 --> 00:08:11.080]  Dass man den Hund nicht überfordert, ein bisschen vorsichtig ist und sich darauf einlässt, in welchem Tempo auch ein Hund zur Bindung bereit ist einzugehen, Vertrauen aufzubauen.
[00:08:11.080 --> 00:08:19.080]  Und dann kommt es halt immer drauf an, was das für ein Typ Hund ist, sondern auch was der Hund zum Beispiel erlebt hat.
[00:08:19.080 --> 00:08:25.080]  Also hast du einen traumatisierten Hund oder hat der Hund Angst vor Menschen oder hat er keine Angst vor Menschen?
[00:08:25.080 --> 00:08:28.440]  Und das braucht halt auch irgendwie alles Zeit, um das mal herauszufinden.
[00:08:28.440 --> 00:08:31.720]  Was ist denn, wenn du einen ganz neuen Hund hast, egal wie alt der ist,
[00:08:31.720 --> 00:08:35.240]  ob das ein kleiner Welpe ist oder ein zehn Jahre alter Hund,
[00:08:35.240 --> 00:08:38.920]  muss man sich ja lieber Menschen auch einfach mal kümmern.
[00:08:38.920 --> 00:08:43.120]  Ja, ja. Und da muss man sehr vorsichtig sein.
[00:08:43.120 --> 00:08:46.400]  Und man muss halt auch so ein paar Sachen achten, die man nicht machen sollte.
[00:08:46.400 --> 00:08:48.480]  Also dass man sich so, was Menschen gerne machen,
[00:08:48.480 --> 00:08:51.760]  frontal vor dem Hund aufbauen, sich so über ihm beugen.
[00:08:51.760 --> 00:08:54.800]  Was Hunde nicht mögen, ist, wenn man ihn über den Kopf streichelt,
[00:08:54.800 --> 00:09:01.920]  wenn man ihn über den Rücken streichelt. Also ganz wichtig ist, versuchen die Hundesprache zu lernen,
[00:09:01.920 --> 00:09:12.240]  also den Hund lesen zu lernen. Und jedes Mal, wenn du dann was machst, was von dir aus gar nicht böse gemeint ist,
[00:09:12.240 --> 00:09:18.320]  du möchtest den über den Kopf streicheln und das zieht den Kopf weg, dann ist das ein Meileverhalten vom Hund.
[00:09:18.320 --> 00:09:22.080]  Dann signalisiert er ganz eindeutig, nee, lass mal, will ich jetzt nicht.
[00:09:22.080 --> 00:09:30.400]  Und wenn du das nicht ernst nimmst und trotzdem deine Macht als Mensch sozusagen ausspielst und sagst, das ist aber schön,
[00:09:30.400 --> 00:09:36.040]  oder so Zwangskuscheln machst, geht der Schuss halt ganz oft nach hinten los.
[00:09:36.040 --> 00:09:43.520]  Weil je mehr, das ist wie bei uns auch, also je mehr man Druck aufbaut, je mehr man jemandem nahe kommt,
[00:09:43.520 --> 00:09:49.520]  also auch wenn ich dir jetzt nahe komme, gehst du automatisch zurück. Und so ist das bei Hunden halt auch.
[00:09:49.520 --> 00:09:56.520]  Und jetzt, unser Spiel ist ja angelegt auf Kinder vor allem, um das denen beizubringen.
[00:09:56.520 --> 00:10:03.520]  Gibt es da irgendwie so für Kinder jetzt spezielle Hunde, die sie überhaupt nicht empfehlen können, weil die irgendwie aggressiv sind oder so?
[00:10:03.520 --> 00:10:06.520]  Oder welche von der Größe her oder so was?
[00:10:06.520 --> 00:10:08.520]  Für einen Hund ist ein Kind was ganz komisches.
[00:10:08.520 --> 00:10:15.520]  Für einen Hund ist ein Kind, ein kleines Kind, kein kleiner Mensch, sondern das ist was total wild.
[00:10:15.520 --> 00:10:25.520]  Ganz viele Hunde mögen Kinder auch nicht so besonders, weil die bewegen sich komisch, die machen komische Laute, die patschen da so rum und tranken so rum und sind ganz oft auch übergriffig.
[00:10:25.520 --> 00:10:34.520]  Wenn der Hund signalisiert, ich möchte Abstand, reagieren Kinder ganz oft nicht drauf.
[00:10:34.520 --> 00:10:41.520]  Und wenn die Eltern dann auch nicht hingucken, das ist ganz oft auch der Grund dafür, dass es zu Beißvorfällen kommt,
[00:10:41.520 --> 00:10:50.520]  weil der Hund sendet so seine Signale, legt die Ohren zurück, geht nach hinten, flasht gleich mal kurz den Läuftzen hoch.
[00:10:50.520 --> 00:11:08.520]  Das sind sehr subjektive Zeichen, wenn der Mensch oder das Kind das nicht wahrnimmt, dann werden diese Zeichen, auch das ist wie bei uns, wenn du mit jemandem ruhig sprichst oder hörtlich nicht, weil die Stimme wird immer lauter und immer drängender und irgendwann schreist du den halt an. Und so ist das bei Hunden halt auch.
[00:11:08.520 --> 00:11:15.800]  Also von daher ist das ja egal, was das für ein Hund ist, es gibt keine aggressiven Hunde und nicht aggressiven Hunde.
[00:11:15.800 --> 00:11:28.840]  Muss man gerade bei Kindern immer sehr gut drauf aufpassen, dass die Eltern auf die Kinder aufpassen, weil wir jetzt kleine Kinder sind, dass die Eltern die Hundesprache verstehen.
[00:11:28.840 --> 00:11:37.880]  Das ist ganz wichtig. Und das Kind dann im Zweifelsfall auch zurückziehen, wenn der Hund sagt, die Grenze, ich will jetzt irgendwie nicht mehr.
[00:11:37.880 --> 00:11:41.880]  Es ist mir zu nah, es ist mir zu viel, es ist mir zu laut.
[00:11:41.880 --> 00:11:52.880]  Also generell, wenn man sich einen Hund zulegen will, dann sollte man, wenn man es nicht selber hinkriegt, auf jeden Fall sowas wie Hundeschule oder sowas in Betracht ziehen.
[00:11:52.880 --> 00:12:02.880]  Auf alle Fälle, ja. Also ganz gut ist, wenn man sich einfach sehr genau informiert.
[00:12:02.880 --> 00:12:08.320]  Und so ein Hund ist halt anders als ein Kaninchen oder auch eine Katze.
[00:12:08.320 --> 00:12:13.560]  Die laufen, die können so nebenher laufen, da muss man nicht so sein Leben umkrempeln.
[00:12:13.560 --> 00:12:18.600]  Aber wenn du einen Hund hast und eine Kinder hast, dann muss man das schon sehr miteinander kombinieren.
[00:12:18.600 --> 00:12:28.440]  Ja, und sich da genau informieren, wie man einen Hund erzielt, wie man mit Hund und Kind irgendwie umgeht,
[00:12:28.440 --> 00:12:33.440]  gemeinsam und vor allen Dingen, wie das Kind mit dem dann umgeht.
[00:12:33.440 --> 00:12:43.740]  Und gibt es vielleicht, wenn man jetzt auf einen Hund zugeht und der nicht wirklich gehorcht
[00:12:43.740 --> 00:12:47.940]  oder aggressiv wird, gibt es da irgendeine Verhaltensweise, wie man sich da am besten
[00:12:47.940 --> 00:12:50.940]  verhält, wenn man Angst vor Hunden hat oder so?
[00:12:50.940 --> 00:12:55.240]  Naja, wenn man Angst vor Hunden hat, sollte man, glaube ich, einfach Abstand vor Hunden
[00:12:55.240 --> 00:13:02.240]  wahren, ganz einfach. Da können die Hunde dann ja auch meistens nicht sehr viel.
[00:13:02.240 --> 00:13:13.240]  Und ansonsten, ja, also die wenigsten Hunde attackieren dich da.
[00:13:13.240 --> 00:13:15.240]  Ja, ja, ja.
[00:13:15.240 --> 00:13:17.240]  Okay, dann guck ich mal.
[00:13:17.240 --> 00:13:22.240]  Dann ist es einfach aus der Situation rauszugehen, immer die...
[00:13:22.240 --> 00:13:24.240]  Nach Benzin, etwas?
[00:13:24.240 --> 00:13:25.240]  Ja, ja.
[00:13:25.240 --> 00:13:27.240]  Die beste Möglichkeit, wenn man so hat.
[00:13:27.240 --> 00:13:29.240]  Das vom Ölofen, aber das hat gesundheitlich Hunger.
[00:13:29.240 --> 00:13:30.240]  Okay.
[00:13:30.240 --> 00:13:32.240]  Da bist du ja auch, wenn du ein Tier hast.
[00:13:32.240 --> 00:13:40.240]  Und jetzt, was sind denn so die Aspekte der Tierhaltung, die so quasi von den meisten unterschätzt werden quasi?
[00:13:40.240 --> 00:13:41.240]  Bei Hunden?
[00:13:41.240 --> 00:13:42.240]  Ja.
[00:13:42.240 --> 00:13:46.240]  Ich glaube, das ist der Zeitaufwand.
[00:13:46.240 --> 00:13:48.240]  Zeitaufwand, ja.
[00:13:48.240 --> 00:13:50.240]  Der...
[00:13:50.240 --> 00:13:58.240]  Also so ein Hund muss man ja auch... Also man muss ja nicht nur dreimal am Tag mit dem Gassi gehen, sondern man muss den ja auch beschäftigen, ja?
[00:13:58.240 --> 00:14:06.240]  Also je nachdem, was du für einen Hund hast, gibt es natürlich Unterschiede bei... Also jeder Hund ist sehr... Also kein Hund ist wie der andere,
[00:14:06.240 --> 00:14:17.740]  aber natürlich gibt es verschiedene Arten von Hunden, ja? Also es gibt Jagdhunde und es gibt Herdenschutzhunde und es gibt Hütehunde und Reifhunde und was nicht noch alles.
[00:14:17.740 --> 00:14:29.740]  Und die haben ja natürlich so eine lange Zuchtgeschichte hinter sich. Und wenn du einen Jagdhund hast, steckt das Jagen natürlich in diesem Hund auch drin. Und das muss man halt berücksichtigen, ja?
[00:14:29.740 --> 00:14:37.740]  Also ganz oft unterschätzt man auch... Ich habe hier nur so einen kleinen Terrier, so einen kleinen niedlichen Jack Russell.
[00:14:37.740 --> 00:14:40.740]  Kann man hochheben, wenn er nicht hört?
[00:14:40.740 --> 00:14:47.740]  Ja, genau. Kann man hochheben. Also das ist auch ein Fehler, den Menschen ganz viel machen, dass sie einfach übergriffig werden in die Hunde hochheben.
[00:14:47.740 --> 00:14:56.740]  Mögen Hunde nicht, muss man vorher ankündigen. Und alles, was man mit Hunden macht, muss man dem Hund im Prinzip beibringen, ja?
[00:14:56.740 --> 00:15:06.740]  Also da ist außer Fressen eigentlich nichts selbstverständlich. So im Zusammenleben, das müssen die halt auch lernen.
[00:15:06.740 --> 00:15:14.740]  Und also diese genetische Veranlagung wird ganz oft unterschätzt.
[00:15:14.740 --> 00:15:23.740]  Wenn du einen Herdenschutzhund hast, wie so einen großen Kangal, ja? Oder wie die alle heißen, die neigen einfach dazu, sehr territorial zu sein.
[00:15:23.740 --> 00:15:37.740]  Und verteidigen dann ihr Areal, ja? Also da sind halt einfach im Prinzip Konflikte, wenn du das nicht weißt und wenn du dich nicht entsprechend mit dem Hund auseinandersetzt und übst.
[00:15:37.740 --> 00:15:48.740]  Die sind einfach vorprogrammiert, ja? Weil irgendwann, je nachdem, wie intensiv du mit dem Hund arbeitest oder wie man nicht arbeitet, lässt es dich dann in zwei, drei, vier, fünf, sechs Wochen nicht mehr in die Wohnung rein, ja?
[00:15:48.740 --> 00:15:54.380]  "Das ist meine Wohnung!" So. Oder wird dann aggressiv oder lässt keine Freundin mehr in die Wohnung rein.
[00:15:54.380 --> 00:16:01.580]  Oder fängt an zu bellen und fängt an zu eskalieren, ja? Das kann alles passieren.
[00:16:01.580 --> 00:16:10.700]  Also diese genetischen Dispositionen muss man halt, wenn man sich für einen Hund entscheidet, schon mitdenken.
[00:16:10.700 --> 00:16:15.100]  Und wenn du einen Jagdhund hast, wird der halt jagen wollen, ja?
[00:16:15.100 --> 00:16:22.500]  Und dann gibt es auch einfach Jagdhunde, die man auch, die einfach in die Linie stattpassen, die man jagdlich führen soll.
[00:16:22.500 --> 00:16:29.300]  Weil man natürlich auch immer darauf aufpassen muss, dass der Hund auch vielleicht aufwächst oder gehalten wird, ja?
[00:16:29.300 --> 00:16:36.700]  Also ein Hund, ein Jagdhund, der, es gibt in der Zucht verschiedene Linien. Es gibt eine Arbeitslinie und es gibt Schuhlinien.
[00:16:36.700 --> 00:16:41.700]  Und wenn du einen Hund aus der Arbeitslinie hast, wenn du einen Jagdhund aus der Arbeitslinie hast, dann will der jagen gehen, ja?
[00:16:41.700 --> 00:16:43.700]  Also je nachdem, was das für ein Hund ist.
[00:16:43.700 --> 00:16:48.200]  Wenn das ein Betrieber ist, der will halt raportieren, ne? Der will raus und das Wild holen.
[00:16:48.200 --> 00:16:54.700]  Und wenn du dem diese Möglichkeit nicht gibst, dann wird der Hund halt irgendwann furchtbar traurig.
[00:16:54.700 --> 00:17:00.200]  Das ist so wie wenn, wenn man einfach Sachen, die man machen möchte, nicht machen darf.
[00:17:00.200 --> 00:17:03.700]  Und je länger man die Sachen, die man machen möchte, nicht machen darf,
[00:17:03.700 --> 00:17:06.200]  desto größer ist halt auch der Wunsch, das zu machen.
[00:17:06.200 --> 00:17:12.800]  Und desto größer ist dann auch der Versuch, sich dagegen irgendwie durchzusetzen, dass man doch dazu kommt.
[00:17:12.800 --> 00:17:20.100]  Und wenn man das nicht will, kann man entweder, kann es sein, je nachdem, was du für einen Hund hast, wird der Hund gradig depressiv oder im Zweifelsfall wird er aggressiv.
[00:17:20.100 --> 00:17:25.600]  Auf jeden Fall wird er nicht so gehalten, wie man den Hund dann eigentlich halten sollte.
[00:17:25.600 --> 00:17:28.200]  Und dann ist es ein Tierschutzthema.
[00:17:28.200 --> 00:17:34.600]  Also generell kann man nicht sagen, dass es so ein allgemeines Verhalten gibt, wie man mit Hunden umgehen kann.
[00:17:34.600 --> 00:17:38.600]  Man muss da immer sehr individuell auf den Hund gerasse, die Größe und so achten.
[00:17:38.600 --> 00:17:48.600]  Ja, du musst halt, wie soll ich sagen, sehr aufmerksam sein mit dem Hund.
[00:17:48.600 --> 00:17:52.600]  Du musst, es gibt verschiedene Sachen, die du, wie gesagt, nicht machen solltest.
[00:17:52.600 --> 00:17:56.600]  Du sollst den Hund nicht hochheben, also alles, was so übergriffig ist, ja.
[00:17:56.600 --> 00:18:01.100]  Dich nicht frontal vor dem Hund aufbäumen, dich über den Hund rüberbäumen,
[00:18:01.100 --> 00:18:04.420]  nicht über den Kopf streicheln, nicht über den Rücken streicheln.
[00:18:04.420 --> 00:18:10.100]  Das sind so Sachen, die man nicht machen sollte.
[00:18:10.100 --> 00:18:12.100]  Ja.
[00:18:12.100 --> 00:18:21.500]  Wenn man jetzt, also sie haben ja auch dieses Zeitliche angesprochen, dass man viel Zeit mit einem Hund verbringen muss,
[00:18:21.500 --> 00:18:27.300]  aber wenn man jetzt quasi nicht so viel Zeit hat, wie das halt heutzutage vielleicht ist bei manchen Leuten,
[00:18:27.300 --> 00:18:31.300]  kann man dann trotzdem einen Hund besitzen quasi?
[00:18:31.300 --> 00:18:38.300]  Das kommt drauf an, was nicht viel Zeit ist. Also wenn man gar keine Zeit hat, dann sollte man sich halt überlegen, ob ein Hund wirklich eine gute Idee ist.
[00:18:38.300 --> 00:18:44.300]  Es braucht einfach Zeit. Also gerade das Gespräch fing damit an, wie man Bindungen aufbaut.
[00:18:44.300 --> 00:18:50.300]  Hunde brauchen ganz klare Strukturen, also manche mehr, manche weniger,
[00:18:50.300 --> 00:18:57.300]  aber für alles, für das Ganze, um den Alltag sozusagen zu organisieren, so dass alle gut miteinander leben können,
[00:18:57.300 --> 00:19:00.300]  braucht das Leben eines Hundes einfach Strukturen.
[00:19:00.300 --> 00:19:10.300]  Ja. Und ein Hund, der Hund ist, also der Sozialpartner des Hundes ist in erster Linie der Mensch.
[00:19:10.300 --> 00:19:15.300]  Hunde sind eher auf Menschen fixiert, als auf Hunde, also auf Artgenossen, ja.
[00:19:15.300 --> 00:19:26.300]  Und wenn du dem Hund diese Möglichkeit gibst, mit dir in Kontakt zu treten, also Interaktion mit dir zu haben, das ist nicht artgerecht. Das ist nicht gut für den Hund.
[00:19:26.300 --> 00:19:37.300]  Also wenn man jetzt, ich meine, alle müssen arbeiten und so, und wie ist es denn mit dem Thema Hund allein zu Hause lassen?
[00:19:37.300 --> 00:19:46.660]  Auch das muss geübt werden. Also es ist keine Lösung, einen Hund fünf Tage die Woche, acht Stunden allein zu lassen.
[00:19:46.660 --> 00:19:56.140]  Wenn du arbeiten gehst, dann gibt es natürlich irgendwie Möglichkeiten, dass es Hutas gibt oder sonstige Pensionen oder Freunde oder wie auch immer.
[00:19:56.140 --> 00:20:04.140]  Ja. Aber wenn ich jetzt einen Vollzeitjob habe und den Hund nicht mit ins Büro nehmen kann,
[00:20:04.140 --> 00:20:10.140]  von Montags bis Freitags acht Stunden 9 to 5 arbeiten gehe,
[00:20:10.140 --> 00:20:17.140]  wäre es keine so gute Idee, wenn ich dann einen Hund habe, wenn ich keine Möglichkeit habe, den Hund mitzunehmen.
[00:20:17.140 --> 00:20:22.140]  Also erstens mal kann der Hund meistens nicht so lange allein bleiben, außer du hast irgendwie ein Grundstück, wo der Hund dann raus ist.
[00:20:22.140 --> 00:20:31.660]  Der muss ja auch mal pipi kaka, ja? Ja. Aber so ein Hund ist einfach echt so ein Interaktionsnerd.
[00:20:31.660 --> 00:20:36.060]  Der braucht den Menschen, der will einfach Interaktion mit dir haben. Also das heißt nicht,
[00:20:36.060 --> 00:20:42.460]  dass der die ganze Zeit mit dir spielen will und toben will, aber der findet das gut, wenn du da bist.
[00:20:42.460 --> 00:20:46.980]  Der beobachtet dich auch die ganze Zeit und der braucht einfach seine Bezugsperson. Und wenn er die nicht hat,
