[00:00:00.000 --> 00:00:05.000]  Also ich weiß jetzt nicht wie viel Zeit sie haben.
[00:03:34.700 --> 00:03:40.700]  Bei anderen Tierheimen weiß ich es nicht, aber ich gehe mal davon aus, dass das auf jeden Fall ein Trend ist, der sich überall hindurchsetzt.
[00:03:40.700 --> 00:03:45.700]  Weil das ist einfach für den Hund und für die neue Familie wirklich das Beste.
[00:03:46.700 --> 00:03:51.700]  Man sieht es erst, wenn der Hund zu Hause ist, ob es tatsächlich klappt.
[00:03:51.700 --> 00:04:00.700]  Kaufen dann die Personen schon die Hundeausstattung? Nein, das kriegen sie mit.
[00:04:00.700 --> 00:04:04.700]  Ja, sie kriegen kleine Geschirr mit, Futter mit, Decken, Körbchen, wenn sie das brauchen.
[00:04:04.700 --> 00:04:06.700]  Also es gibt Unterstützung?
[00:04:06.700 --> 00:04:13.700]  Erstmal kommt, solange kein richtiger Schutzvertrag abgeschlossen wurde, kommen da keine Kosten auf die Leute zu.
[00:04:13.700 --> 00:04:16.700]  Die werden erst mal von uns supported.
[00:04:16.700 --> 00:04:23.700]  Okay. Wie sieht das mit kranken Hunden aus? Bekommt man da Unterstützung?
[00:04:23.700 --> 00:04:32.700]  Wie meinen Sie, wer bekommt, wer bekommt, also wenn wir einen kranken Hund vermitteln, dann kann der lebenslang zu uns in die Arztpraxis kommen.
[00:04:32.700 --> 00:04:41.700]  Wenn er zum Beispiel was versichert, Leichtmaniose, oder wenn es ein Hund ist, der so absehbar ist, dass er nicht mehr lange lebt und wir generell nur eine Pflegestelle suchen,
[00:04:41.700 --> 00:04:45.700]  dann kommen wir in der Regel für die Tierarztkosten auf.
[00:04:45.700 --> 00:04:49.700]  Wir haben also den Tierschutzverein, haben einen eigenen Tierarzt, der hier angestellt ist.
[00:04:49.700 --> 00:04:52.700]  Eine kleine Praxis hier auf dem Gelände, genau.
[00:04:52.700 --> 00:04:56.700]  Und der ist allerdings tatsächlich nur für diese Tierheim-eigenen Tiere zuständig.
[00:04:56.700 --> 00:05:01.700]  Also es ist kein niedergelassener Tierarzt, wo jeder hinkommt, sondern wirklich tatsächlich nur unsere Tiere.
[00:05:01.700 --> 00:05:04.700]  Oder wie eben erwähnt, wenn wir ein Krankes Tier vermitteln,
[00:05:04.700 --> 00:05:11.700]  haben die Leute auch die Möglichkeit, Kosten frei, unseren Tierarzt zu erhoben.
[00:05:11.700 --> 00:05:17.700]  Wie lange sitzt du schon im Tierschutzverein? Ich? Seit 21 Jahren.
[00:05:17.700 --> 00:05:23.700]  Und jetzt vor allem in Bezug auf Kinder, wenn die hier kommen und einen Hund adoptieren wollen.
[00:05:23.700 --> 00:05:27.700]  Kinder? Ja, Kinder. Also über die Eltern natürlich.
[00:05:27.700 --> 00:05:31.700]  Aber meist ist es ja der Kinderwunsch, einen Hund zu haben, würde ich jetzt sagen.
[00:05:31.700 --> 00:05:40.100]  Aber auch da haben wir genau das gleiche Prozente. Also die Eltern sind immer hauptverantwortlich, ob die Kinder jetzt einen Hund wollen oder nicht.
[00:05:40.100 --> 00:05:47.300]  Und das versuchen wir auch immer ganz klar zu kommunizieren. Denn klar, Kinder, wenn sie mal 12, 13 sind, hätten die gerne einen Hund. Das ist super.
[00:05:47.300 --> 00:05:52.700]  Dauert dann genau zwei Jahre und dann geht das Interesse flöten.
[00:05:52.700 --> 00:05:59.500]  Es ist zum Beispiel so ein Fall, wir kriegen ganz oft Kaninchen oder Meerschweinchen abgegeben.
[00:05:59.500 --> 00:06:04.500]  Die wurden irgendwann mal irgendwo im Kölner Zoo oder wo auch immer gekauft für die Kinder.
[00:06:04.500 --> 00:06:08.500]  Und die haben dann irgendwann keine Lust mehr, die Eltern sind zu matsch.
[00:06:08.500 --> 00:06:12.500]  Und das ist eigentlich der Hauptabgabengrund für Kaninchen.
[00:06:12.500 --> 00:06:15.500]  Gut, sind jetzt keine Hunde, aber nur am Rande.
[00:06:15.500 --> 00:06:22.500]  Man muss einfach immer gute Aufklärungsarbeit leisten bei den Kindern, bei den Eltern, vor allem bei den Eltern.
[00:06:22.500 --> 00:06:27.500]  Ja, okay. Ja, so ungefähr dasselbe versuchen wir ja auch zu machen. Deswegen ist die Frage.
[00:06:27.500 --> 00:06:34.100]  Was studiert ihr denn? Informatik. Also wie gesagt, wir machen ein Spiel.
[00:06:34.100 --> 00:06:38.500]  Wir wollen eine Handyaufklärung machen. Ah, cool, echt? Ja, ja.
[00:06:38.500 --> 00:06:43.500]  Deswegen, wir sind nicht so Experten in dem Gebiet, ohne leider irgendwas falsch zu sagen.
[00:06:43.500 --> 00:06:45.500]  Nein, alles gut.
[00:06:45.500 --> 00:06:51.500]  Vielleicht jetzt mal generelle Fragen zu Hunden, wie man am besten mit denen umgehen kann.
[00:06:51.500 --> 00:06:56.500]  Zum Beispiel so Sachen wie, wie man am besten Vertrauen mit einem Hund aufbaut.
[00:06:57.500 --> 00:07:03.500]  Alex. Meine Kollegin Alex, die gerade eine Ausbildung zur Hundetrainerin macht.
[00:07:03.500 --> 00:07:08.500]  Die ist da. Hast du kurz Zeit? Ja. Dann komm zu uns.
[00:07:08.500 --> 00:07:13.500]  Die ist da die perfekte Ansprechpartnerin, weil die lernt gerade. Haut nach.
[00:07:13.500 --> 00:07:17.500]  Lernverhalten. Bindung.
[00:07:22.500 --> 00:07:41.700]  Individuell auf den Hund, den man da hat, zu dem man eine Bindung aufbaut, eingeht und dass man ganz viel Zeit sich nimmt und dass man den Hund nicht überfordert, ein bisschen vorsichtig ist und sich darauf einlässt, in welchem Tempo auch ein Hund zu einer Bindung bereit ist einzugehen, Vertrauen aufzubauen.
[00:07:41.700 --> 00:07:49.300]  Und dann kommt es halt immer auch darauf an, was das, also nicht nur was das für ein Typ Hund ist, sondern auch, was der Hund zum Beispiel erlebt hat.
[00:07:49.300 --> 00:07:55.300]  Also, hast du einen traumatisierten Hund oder hat der Hund Angst vor Menschen oder hat er keine Angst vor Menschen?
[00:07:55.300 --> 00:07:59.300]  Und das braucht halt auch irgendwie alles Zeit, um das mal herauszufinden.
[00:07:59.300 --> 00:08:05.700]  Was ist denn, wenn du einen ganz neuen Hund hast, egal wie alt der ist, ob das ein kleiner Welpe ist oder ein zehn Jahre alter Hund,
[00:08:05.700 --> 00:08:09.700]  muss man sich ja über Menschen auch einfach mal kummern lernen.
[00:08:09.700 --> 00:08:10.700]  Ja, ja.
[00:08:10.700 --> 00:08:15.580]  Und da muss man sehr vorsichtig sein und man muss halt auf so ein paar Sachen achten,
[00:08:15.580 --> 00:08:16.860]  die man nicht machen sollte.
[00:08:16.860 --> 00:08:21.260]  Also, dass man sich so, was Menschen gerne machen, frontal vor dem Hund aufbaut und sich
[00:08:21.260 --> 00:08:22.260]  über ihn beugen.
[00:08:22.260 --> 00:08:25.780]  Was Hunden nicht mögen, ist, wenn man ihn über den Kopf streichelt, wenn man ihn über
[00:08:25.780 --> 00:08:26.780]  den Rücken streichelt.
[00:08:26.780 --> 00:08:34.100]  Also, ganz wichtig ist es, versuchen die Hundesprache zu lernen, ja, also den Hund lesen zu lernen.
[00:08:34.100 --> 00:08:43.100]  Und jedes Mal, wenn du da was machst, was von dir aus gar nicht böse gemeint ist, ja,
[00:08:43.100 --> 00:08:49.100]  du möchtest den über den Kopf streicheln und jetzt zieht den Kopf weg, dann ist das ein Meileverhalten vom Hund.
[00:08:49.100 --> 00:08:53.100]  Dann signalisiert er dir ganz eindeutig, nee, lass mal, will ich jetzt nicht, ja.
[00:08:53.100 --> 00:09:00.100]  Und wenn du das nicht ernst nimmst und trotzdem deine Macht als Mensch sozusagen ausspielst und sagst,
[00:09:00.100 --> 00:09:06.460]  das ist aber schön, ja, oder so Zwangskuscheln machst, geht der Schuss halt ganz oft nach hinten los.
[00:09:06.460 --> 00:09:13.980]  Weil je mehr, das ist wie bei uns auch, ja, also je mehr man Druck aufbaut, je mehr man jemandem nahe kommt,
[00:09:13.980 --> 00:09:19.340]  du bist ja auch, wenn ich dir jetzt nahe komme, bist du automatisch zurück, ja. Und so ist das bei Hunden halt auch.
[00:09:19.340 --> 00:09:26.580]  Und jetzt, unser Spiel ist ja angelegt auf Kinder vor allem, um das Leben beizubringen.
[00:09:26.580 --> 00:09:32.380]  Und gibt es da irgendwie so für Kinder jetzt spezielle Hunde, die sie überhaupt nicht empfehlen können,
[00:09:32.380 --> 00:09:36.780]  weil die irgendwie aggressiv sind oder so? Oder welche von der Größe her oder sowas?
[00:09:36.780 --> 00:09:43.180]  Für einen Hund ist ein Kind was ganz Komisches, ja. Für den Hund ist kein, ein Kind, kein kleines Kind, kein kleiner Mensch,
[00:09:43.180 --> 00:09:48.780]  sondern das ist was total Wird. Ganz viele Hundehunde mögen Kinder auch nicht so besonders,
[00:09:48.780 --> 00:09:53.780]  weil die bewegen sich komisch, die machen komische Laute, die pratschen da so rum und trampeln so rum
[00:09:53.780 --> 00:10:02.300]  und sind ganz oft auch übergriffig. Und wenn der Hund signalisiert, ich möchte Abstand,
[00:10:02.300 --> 00:10:07.260]  reagieren Kinder ganz oft nicht drauf. Und wenn die Eltern dann auch nicht hingucken, ja,
[00:10:07.260 --> 00:10:15.780]  das ist ganz oft auch der Grund dafür, dass es zu Beißvorfällen kommt, weil der Hund sendet so seine Signale,
[00:10:15.780 --> 00:10:20.780]  ja, legt die Ohren zurück, nach hinten, vielleicht noch kurz die Läuftzen hoch.
[00:10:20.780 --> 00:10:38.780]  Das sind sehr sublime Zeichen, wenn der Mensch oder das Kind das nicht wahrnimmt, dann werden diese Zeichen auch, das ist wie bei uns, ja, wenn du mit jemandem ruhig sprichst und er hört dich nicht, deine Stimme wird immer lauter und immer drängender, ja, und irgendwann schreist du den halt ab. Und so ist das bei Hunden halt auch.
[00:10:38.780 --> 00:10:46.380]  Also von daher ist das egal, was das für ein Hund ist, es gibt keine per se aggressiven Hunde und keine nicht aggressiven Hunde.
[00:10:46.380 --> 00:10:55.580]  Muss man gerade bei Kindern immer sehr drauf aufpassen, dass die Eltern auch zu Kindern aufpassen,
[00:10:55.580 --> 00:11:00.780]  dass es kleine Kinder sind, dass die Eltern die Hundesprache verstehen, ja, das ist ganz wichtig.
[00:11:00.780 --> 00:11:08.380]  Und das Kind dann im Zweifelsfall auch zurückziehen, wenn der Hund seine Tiere grenzt, will jetzt irgendwie nicht mehr.
[00:11:08.380 --> 00:11:11.380]  Zu viel Gas, zu viel, ist mir zu laut.
[00:11:11.380 --> 00:11:19.780]  Also generell, wenn man sich einen Hund zulegen will, dann sollte man, wenn man es nicht selber hinkriegt,
[00:11:19.780 --> 00:11:23.380]  auf jeden Fall sowas wie Hundeschule oder sowas in Betracht ziehen.
[00:11:23.380 --> 00:11:43.980]  Auf alle Fälle, ja. Also ganz gut ist, wenn man vorher auch, also wenn man sich einfach sehr genau informiert, ja, und so ein Hund ist halt anders als ein Kaninchen oder auch eine Katze, die laufen, die können so nebenher laufen, ja, da muss man nicht so sein Leben umkrempeln.
[00:11:43.980 --> 00:11:49.980]  Aber wenn du einen Hund hast und eine Kinder hast, dann muss man das schon sehr miteinander kombinieren, ja, also.
[00:11:49.980 --> 00:12:02.980]  Und sich da genau informieren, wie man einen Hund bezieht, wie man mit Hund und Kind irgendwie umgeht gemeinsam und vor allem wie das Kind mit dem Hund dann umgeht.
[00:12:05.980 --> 00:12:13.480]  Und gibt es vielleicht, wenn man jetzt auf einen Hund zugeht und der nicht wirklich quasi
[00:12:13.480 --> 00:12:18.280]  gehorcht oder aggressiv wird, gibt es da irgendeine Verhaltensweise, wie man sich da am besten
[00:12:18.280 --> 00:12:21.220]  verhält, wenn man Angst vor Hunden hat oder sowas?
[00:12:21.220 --> 00:12:25.620]  Naja, wenn man Angst vor Hunden hat, sollte man, glaube ich, einfach Abstand zu Hunden
[00:12:25.620 --> 00:12:46.620]  wahren, ganz einfach, ja. Da können Hunde dann auch meistens nicht dafür. Und ansonsten, ja, also die wenigsten Hunde attackieren dich dann, ja.
[00:12:46.620 --> 00:12:48.620]  Okay, dann guckst du mal.
[00:12:48.620 --> 00:12:52.620]  Einfach aus der Situation rauszugehen, wenn man die kaputt macht.
[00:12:52.620 --> 00:12:54.620]  Nach Benzin, ja.
[00:12:54.620 --> 00:12:56.620]  Die beste Möglichkeit, um zu machen.
[00:12:56.620 --> 00:12:59.620]  Ja, vom Ölofen, aber das hat gesagt er die Nummer.
[00:12:59.620 --> 00:13:00.620]  Okay.
[00:13:00.620 --> 00:13:02.620]  Wenn du sie aufmachst, dann wird es okay.
[00:13:02.620 --> 00:13:10.620]  Und jetzt, so, was sind denn so die Aspekte der Tierhaltung, die so quasi von den meisten unterschätzt werden quasi?
[00:13:10.620 --> 00:13:11.620]  Bei Hunden?
[00:13:11.620 --> 00:13:12.620]  Ja.
[00:13:12.620 --> 00:13:16.620]  Ich glaube, das ist der Zeitaufwand.
[00:13:16.620 --> 00:13:18.620]  Zeitaufwand, ja.
[00:13:18.620 --> 00:13:28.620]  Der, also so einen Hund muss man ja auch, also man muss ja nicht nur dreimal am Tag mit dem Gassi gehen, sondern man muss den ja auch beschäftigen, ja.
[00:13:28.620 --> 00:13:36.620]  Also je nachdem, was du für einen Mund hast, da gibt es natürlich Unterschiede bei, also jeder Hund ist sehr, also kein Hund ist wie der andere,
[00:13:36.620 --> 00:13:48.020]  aber natürlich gibt es verschiedene Arten von Hunden, ja. Also es gibt Jagdhunde und es gibt Herdenschutzhunde und es gibt Hütehunde und Reithunde und was nicht noch alles.
[00:13:48.020 --> 00:13:57.220]  Und die haben ja natürlich so eine lange Zuchtgeschichte hinter sich. Und wenn du einen Jagdhund hast, steckt das Jagen natürlich in diesem Hund auch drin.
[00:13:57.220 --> 00:14:08.020]  Und das muss man halt berücksichtigen, ja. Also ganz oft unterschätzt man auch, ich habe hier nur so einen kleinen Terrier, so einen kleinen niedlichen Jack Russell.
[00:14:08.020 --> 00:14:11.020]  Kann man hochheben, wenn er nicht hört?
[00:14:11.020 --> 00:14:18.020]  Ja, genau, kann man hochheben. Also das ist auch ein Fehler, den Menschen ganz viel machen, dass sie einfach übergriffig werden, die Hunde hochheben.
[00:14:18.020 --> 00:14:27.020]  Mögen Hunde nicht, muss man vorher ankündigen. Und alles, was man mit Hunden macht, muss man dem Hund im Prinzip beibringen, ja.
[00:14:28.020 --> 00:14:34.020]  Also da ist außer Fressen eigentlich nichts selbstverständlich.
[00:14:34.020 --> 00:14:37.020]  So im Zusammenleben, das müssen die halt auch lernen.
[00:14:37.020 --> 00:14:45.020]  Und also diese genetische Veranlagung wird ganz oft unterschätzt.
[00:14:45.020 --> 00:14:50.020]  Wenn du einen Herdenschutzhund hast, wie so einen Kangal, ja, oder wie die alle heißen,
[00:14:50.020 --> 00:14:54.020]  die neigen einfach dazu, sehr territorial zu sein.
[00:14:54.020 --> 00:15:07.020]  Und verteidigen dann ihr Areal, ja. Also da sind halt einfach im Prinzip Konflikte, wenn du das nicht weißt und wenn du dich nicht entsprechend mit dem Hund auseinandersetzt.
[00:15:07.020 --> 00:15:16.020]  Und die sind einfach vorprogrammiert, ja. Weil irgendwann, nachdem, wie intensiv du mit dem Hund arbeitest oder wie du mit mir nicht arbeitest,
[00:15:16.020 --> 00:15:19.380]  wirst du in zwei, drei, vier Stunden nicht mehr in die Wohnung rein, ja.
[00:15:19.380 --> 00:15:20.900]  "Das ist meine Wohnung." So.
[00:15:20.900 --> 00:15:24.820]  Oder du wirst dann aggressiv oder lässt keine Freundin mehr in die Wohnung rein.
[00:15:24.820 --> 00:15:30.980]  Oder fängt an zu bellen und fängt an zu eskalieren, ja.
[00:15:30.980 --> 00:15:31.940]  Das kann alles passieren.
[00:15:31.940 --> 00:15:41.060]  Also diese genetischen Dispositionen muss man halt, wenn man sich für einen Hund entscheidet, schon mitdenken.
[00:15:41.060 --> 00:15:45.540]  Und wenn du einen Jagdhund hast, wird der halt jagen wollen, ja.
[00:15:45.540 --> 00:15:52.820]  Und dann gibt es auch einfach Jagdhunde, die einfach in die Linie stark passen, die man jagdlich führen soll.
[00:15:52.820 --> 00:15:59.700]  Weil man natürlich auch immer darauf aufpassen muss, dass der Hund auch vielleicht sogar aufwächst oder gehalten wird, ja.
[00:15:59.700 --> 00:16:07.140]  Also ein Jagdhund, es gibt in der Zucht verschiedene Linien. Es gibt eine Arbeitslinie und es gibt Schuhlinien.
[00:16:07.140 --> 00:16:12.020]  Und wenn du einen Hund aus der Arbeitslinie hast, wenn du einen Jagdhund aus der Arbeitslinie hast, dann will der jagen gehen, ja.
[00:16:12.020 --> 00:16:14.020]  Also je nachdem, was das für ein Hund ist.
[00:16:14.020 --> 00:16:17.020]  Wenn das ein Retriever ist, der will halt raportieren, ne.
[00:16:17.020 --> 00:16:19.020]  Der will raus und das mitholen.
[00:16:19.020 --> 00:16:25.020]  Und wenn du dem diese Möglichkeit nicht gibst, dann wird der Hund halt irgendwann furchtbar traurig.
[00:16:25.020 --> 00:16:31.020]  Das ist so wie wenn, wenn man einfach Sachen, die man machen möchte, nicht machen darf.
[00:16:31.020 --> 00:16:34.020]  Und je länger man die Sachen, die man machen möchte, nicht machen darf,
[00:16:34.020 --> 00:16:37.020]  desto größer ist halt auch der Wunsch, das zu machen.
[00:16:37.020 --> 00:16:43.340]  Und desto größer ist dann auch der Versuch, sich dagegen irgendwie durchzusetzen, dass man doch dazu kommt.
[00:16:43.340 --> 00:16:50.580]  Und wenn man das nicht will, kann man entweder, kann es sagen, je nachdem, was du für einen Hund hast, wird der Hund gradig depressiv oder im Zweifelsfall wird er aggressiv.
[00:16:50.580 --> 00:16:55.980]  Auf jeden Fall wird er nicht so gehalten, wie man den Hund dann eigentlich halten sollte.
[00:16:55.980 --> 00:16:58.700]  Und dann ist es ein Tierschutzthema.
[00:16:58.700 --> 00:17:05.100]  Also generell kann man nicht sagen, dass es so ein allgemeines Verhalten gibt, wie man mit Hunden umgehen kann.
[00:17:05.100 --> 00:17:09.100]  Man muss ja immer sehr individuell auf den Hund gerasse, die Größe und so achten.
[00:17:09.100 --> 00:17:19.100]  Ja, du musst halt, wie soll ich sagen, sehr aufmerksam sein mit dem Hund.
[00:17:19.100 --> 00:17:23.100]  Du musst, es gibt verschiedene Sachen, die du, wie gesagt, nicht machen solltest.
[00:17:23.100 --> 00:17:27.100]  Du sollst den Hund nicht hochheben, also alles, was so übergriffig ist, ja.
[00:17:27.100 --> 00:17:31.100]  Dich nicht frontal vor dem Hund aufräumen, dich über den Hund drüber beugen,
[00:17:31.100 --> 00:17:36.100]  dich nicht über den Kopf streichen, dich nicht über den Rücken streicheln.
[00:17:36.100 --> 00:17:41.100]  Das sind so Sachen, die man nicht machen sollte.
[00:17:41.100 --> 00:17:43.100]  Ja.
[00:17:43.100 --> 00:17:52.100]  Wenn man jetzt, also Sie haben ja auch dieses Zeitliche angesprochen, dass man viel Zeit mit einem Hund verbringen muss,
[00:17:52.100 --> 00:17:58.100]  aber wenn man jetzt quasi nicht so viel Zeit hat, wie es halt heutzutage vielleicht ist bei manchen Leuten,
[00:17:58.100 --> 00:18:01.620]  kann man dann trotzdem einen Hund besitzen quasi?
[00:18:01.620 --> 00:18:08.500]  Das kommt darauf an, was nicht viel Zeit ist. Also wenn man gar keine Zeit hat, dann sollte man sich halt überlegen, ob ein Hund wirklich eine gute Idee ist.
[00:18:08.500 --> 00:18:14.340]  Es braucht einfach Zeit. Also gerade das Gespräch fing damit an, wie man Bindungen aufbaut.
[00:18:14.340 --> 00:18:20.500]  Hunde brauchen ganz klare Strukturen, also manche mehr, manche weniger.
[00:18:20.500 --> 00:18:27.620]  Aber für alles, für das Ganze, um den Alltag sozusagen zu organisieren, so dass alle gut miteinander leben können,
[00:18:27.620 --> 00:18:30.620]  braucht das Leben eines Hundes einfach Strukturen.
[00:18:30.620 --> 00:18:40.620]  Ja. Und ein Hund, der Hund ist, also der Sozialpartner des Hundes ist in erster Linie der Mensch.
[00:18:40.620 --> 00:18:45.620]  Hunde sind eher auf Menschen fixiert als auf Hunde, also auf Artgenossen, ja.
[00:18:45.620 --> 00:18:51.620]  Und wenn du dem Hund diese Möglichkeit gibst, mit dir in Kontakt zu treten, also Interaktion mit dir zu haben,
[00:18:51.620 --> 00:18:56.620]  das ist nicht artgerecht. Da wird der Hund, das ist nicht gut für den Hund.
[00:18:56.620 --> 00:19:04.860]  Also wenn man jetzt, ich meine, alle müssen arbeiten und so, und wie ist es denn mit dem
[00:19:04.860 --> 00:19:13.980]  Thema Hund allein zu Hause lassen? Auch das muss geübt werden. Also es ist keine Lösung,
[00:19:13.980 --> 00:19:19.580]  einen Hund fünf Tage die Woche, acht Stunden allein zu lassen. Wenn du arbeiten gehst, dann
[00:19:19.580 --> 00:19:24.460]  gibt es natürlich irgendwie Möglichkeiten, dass es Hutas gibt oder sonstige Pensionen
[00:19:24.460 --> 00:19:31.620]  oder Freunde oder wie auch immer, ja. Aber wenn ich jetzt einen Vollzeitjob habe und den
[00:19:31.620 --> 00:19:38.380]  Hund nicht mit ins Büro nehmen kann, von Montag bis Freitag acht Stunden, Minute five, arbeiten
[00:19:38.380 --> 00:19:45.900]  gehe, wäre es keine so gute Idee, wenn ich dann einen Hund habe, wenn ich keine Möglichkeit
[00:19:45.900 --> 00:19:50.500]  habe, den Hund mitzunehmen. Also erstens mal kann der Hund meistens nicht so lange allein
[00:19:50.500 --> 00:19:53.620]  bleiben, außer du hast irgendwie ein Grundstück, wo der Hund da draußen, der muss ja auch mal
[00:19:53.620 --> 00:20:02.940]  Pipi Kaka her, aber so ein Hund ist einfach echt so ein Interaktionsnerd, der braucht den Menschen,
[00:20:02.940 --> 00:20:07.540]  der will einfach Interaktion mit dir haben. Also das heißt nicht, dass der die ganze Zeit mit dir
[00:20:07.540 --> 00:20:14.020]  spielen will und toben will, aber der findet das gut, wenn du da bist, der beobachtet dich auch die
[00:20:14.020 --> 00:20:18.980]  ganze Zeit und der braucht einfach seine Bezugsperson und wenn er die nicht hat, dann ist der halt lost.
[00:20:18.980 --> 00:20:27.820]  Und deshalb sollte man sich da sehr kritisch hinterfragen, wenn man eigentlich keine Zeit
[00:20:27.820 --> 00:20:34.820]  für einen Hund hat, dann sollte man auch tatsächlich keinen Hund haben.
[00:20:34.820 --> 00:20:42.260]  Und gibt es so eine gewisse Grundausstattung, die jeder Hundebesitzer für einen Hund haben
[00:20:42.260 --> 00:20:43.260]  braucht, gibt es da sowas?
[00:20:43.260 --> 00:20:51.760]  Naja, du brauchst eine Läppe, du brauchst ein Bettchen für den Hund, du brauchst Geschirre, Leinen, je nachdem, also so eine Grundausstattung gibt es schon.
[00:20:51.760 --> 00:21:06.760]  Also Geschirre, ein Geschirr, ein Halsband, je nachdem, eine Leine, Maulkorb, Bett, Läpfe, das ist glaube ich so die, ein bisschen Spielzeug.
[00:21:06.760 --> 00:21:08.260]  Spielzeug, ja.
[00:21:08.260 --> 00:21:10.760]  Maulkorb wirklich immer als Grundausstattung?
[00:21:11.760 --> 00:21:20.760]  Du kannst nie schaden, ja. Also weil Maulkorb ist ja auch nicht so, deshalb finde ich das ganz gut, wenn der einfach mit im Paket drin ist.
